name,Affiliation,Citations
daniel kopev,"Professor of Computer Science, Brooklyn College ",611
aaron courville,Université de Montréal,78772
pascal vincent,"Facebook AI Research; U. Montreal (Professor, Computer Sc. & Op. Res.); MILA; CIFAR ",35474
vincent larivière,Université de Montréal,12523
philippe vincent-lamarre,Université de Montréal,150
vardaan pahuja,Université de Montréal,74
yutao zhu,"PhD student, University of Montreal ",23
yoshua bengio,"Professor, University of Montreal (Computer Sc. & Op. Res.), Mila, CIFAR, CRM, IVADO … ",298384
jian-yun nie,university of montreal,10276
iulian vlad serban,University of Montreal,4752
mirco ravanelli,Université de Montréal - MILA,846
yikang shen,"Mila, Universite de Montreal ",326
in so kweon,KAIST,14690
juhan nam,"Associate Professor, KAIST ",3236
jaegul choo,"Associate Professor, Graduate School of Artificial Intelligence, KAIST ",2865
jaesik choi,Associate Professor at KAIST,1028
il-chul moon,"Associate Professor, Department of Industrial and Systems Engineering, KAIST ",995
hoirin kim,"Professor of Electrical Engineering, KAIST ",628
jinyeong bak,"Department of Computer Science, KAIST ",223
taejun kim,"Music and Audio Computing Lab, KAIST ",73
youngmoon jung,"School of Electrical Engineering, KAIST ",51
myunghun jung,"Ph.D. student, Korea Advanced Institute of Science and Technology (KAIST) ",4
nicolas thome,"Professor of Computer Science, Cnam Paris, France ",2748
barbara mcgillivray,The Alan Turing Institute / University of Cambridge,348
federico nanni,"Research Data Scientist, The Alan Turing Institute ",248
adam tsakalidis,The Alan Turing Institute,177
bertie vidgen,"Researcher, The Alan Turing Institute ",97
mariona coll ardanuy,The Alan Turing Institute,70
haozhou wang,University of New Brunswick,1
navdeep jaitly,The DE Shaw Group,22501
leonidas a. a. doumas,"Dept. of Psychology, School of PPLS, University of Edinburgh ",1204
hongchao fang,Advanced Remanufacturing and Technology Centre (ARTC) A*Star,365
peter ford dominey,CNRS Research Director,6071
tommaso venturini,CNRS French National Centre for Scientific Research,4055
marco dinarelli,LIG CNRS,537
alexandre allauzen,"LIMSI-CNRS, Université Paris-Sud ",1416
ondrej bojar,"Charles University, Faculty of Mathematics and Physics, Institute of Formal and Applied … ",9779
jana straková,"Charles University, Faculty of Mathematics and Physics, Institute of Formal and Applied … ",1628
tom kocmi,"Charles University, Faculty of Mathematics and Physics, Institute of Formal and Applied … ",216
mikuláš zelinka,"Ph.D. candidate, Charles University, Faculty of Mathematics and Physics ",14
jithendra vepa,"Samsung India Software Operations, Bangalore ",1227
changshui zhang,"Dept. Automation, Tsinghua University, Beijing, China ",16934
guiguang ding,Tsinghua University,4886
shouyi yin,Tsinghua University,2262
chenglong bao,"Yau Mathematical Sciences Center, Tsinghua University ",1483
jiezhong qiu,Tsinghua University,682
junxin liu,Tsinghua University,142
xiaoyuan yi,Tsinghua University,118
ryuichi takanobu,Tsinghua University,93
haoxi zhong,Tsinghua University,82
chaojun xiao,Tsinghua University,80
qibin chen,Tsinghua University,51
xianggen liu,Tsinghua University,45
xiaozhi wang,Tsinghua University,28
ting-en lin,Tsinghua University,20
suyu ge,Tsinghua University,10
xintong yu,Tsinghua University,4
zhengyuan liu,Tsinghua University,3
jifan yu,Tsinghua university,2
weize chen,Tsinghua University,1
zhihong shao,Tsinghua University,1
yinpei dai,Tsinghua University,1
andrew halterman,MIT Political Science,51
saeedeh shekarpour,University of Dayton,696
kristine mae m. adlaon,University of the Immaculate Conception,1
tunazzina islam,"Ph.D. student in Computer Science at Purdue University, West Lafayette. ",7
lawrence carin,"Professor of Electrical and Computer Engineering, Duke University ",27852
mark hasegawa-johnson,"Professor of Electrical and Computer Engineering, University of Illinois ",12807
khoi-nguyen c. mac,"Department of Electrical and Computer Engineering, University of Illinois at Urbana … ",60
jewoo kim,"Assistant Professor of Hospitality Management, Iowa State University ",65
yunfeng liu,New York Blood Center,181
isha bhallamudi,"Sociology PhD Student, UC Irvine ",6
daniel m. ziegler,OpenAI,216
jan van santen,"Professor, Oregon Health & Science University ",7105
masato kikuchi,University of Toyama,217
grzegorz kondrak,"Professor of Computing Science, University of Alberta ",3672
amine trabelsi,"Ph.D. candidate in Computing Science, University of Alberta ",136
nouha dziri,"PhD Student in Computing Science, University of Alberta ",75
ehud reiter,"Professor of Computing Science, University of Aberdeen ",9788
patrick gallinari,Professor Sorbonne University / Criteo AI Lab,10329
arvind satyanarayan,MIT CSAIL,1139
david harwath,MIT Computer Science and Artificial Intelligence Laboratory,601
jiayuan mao,MIT CSAIL,490
wei-hung weng,MIT Computer Science and Artificial Intelligence Laboratory,422
tal schuster,"MIT, CSAIL ",236
sameer khurana,MIT Computer Science and Artificial Intelligence Laboratory,199
darsh j shah,MIT CSAIL,74
hongyin luo,MIT CSAIL,73
xuankai chang,"Johns Hopkins University, Student ",183
arijit sehanobish,"Postdoctoral Associate, Yale School of Medicine ",1
edward newell,"Associate Professor of Education, Crandall University, Moncton, NB, Canada ",38
marcus bishop,"Assistant Professor, California State University San Marcos ",108
kalai ramea,"Palo Alto Research Center, Inc. ",376
kyle dent,Palo Alto Research Center,113
phuong le-hong,"Hanoi University of Science, VNU Hanoi ",554
kevin seppi,"Professor of Computer Science, Brigham Young University ",2722
uliyana kubasova,University of the Fraser Valley,1
michael franklin mbouopda,"PhD Student, University of Clermont Auvergne ",2
jason eisner,"Professor of Computer Science, Johns Hopkins University ",15726
david yarowsky,"Professor of Computer Science, Johns Hopkins University ",14931
benjamin van durme,"Associate Professor of Computer Science, Johns Hopkins University ",5816
markus dreyer,"Ph.D., Johns Hopkins University ",795
salvatore giorgi,"Data Scientist, University of Pennsylvania ",234
daniel e. acuna,"School of Information Studies, Syracuse University ",698
joelle pineau,"School of Computer Science, McGill University ",14060
rachel cardell-oliver,The University of Western Australia,1816
zeyi wen,"Lecturer of Computer Science, University of Western Australia ",290
nayyer aafaq,The University of Western Australia,45
siyao peng,"PhD student, Georgetown University ",15
li fei-fei,"Professor of Computer Science, Stanford University ",96650
jure leskovec,"Professor of Computer Science, Stanford University ",67115
percy liang,"Associate Professor of Computer Science, Stanford University ",13965
kayvon fatahalian,"Assistant Professor of Computer Science, Stanford University ",5615
gregory valiant,"Assistant Professor of Computer Science, Stanford University ",2877
lianbo ma,Northeastern University,558
f. grippa,Northeastern University,411
xinyu hua,"PhD student, Northeastern University ",64
kechen qin,Northeastern University,58
ansel maclaughlin,Northeastern University,50
luyang huang,Northeastern University,14
soumi maiti,"Graduate Center, CUNY ",19
abdul rafae khan,"The Graduate Center, City University of New York ",12
mayank kejriwal,"Research Assistant Professor, USC Viterbi School of Engineering ",359
chaomei chen,"Professor of Informatics, College of Computing and Informatics, Drexel University ",17983
o. frieder,Georgetown University,16203
ophir frieder,Georgetown University,16203
nazli goharian,Georgetown University,1719
amir zeldes,"Associate Professor of Computational Linguistics, Georgetown University ",1270
sean macavaney,Georgetown University,150
sajad sotudeh,Georgetown University,30
jakob prange,"Ph.D. student, Georgetown University ",25
qiu ran,"Peking University, University of Pennsylvania ",92
shayne longpre,"Stanford, Apple ",26
lianwen jin,"Professor of Electronic and Information Engineering, South China University of Technology ",5720
alex warstadt,"New York University, Graduate Student ",174
zhongfang zhuang,Visa Research,25
jeremy howard,Smithfield Premium Genetics,236
richard bowden,"Professor of Computer Vision and Machine Learning, CVSSP, University of Surrey ",9840
necati cihan camgoz,"Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey ",322
kewei tu,"School of Information Science and Technology, ShanghaiTech University, China ",600
ramit sawhney,Tower Research Capital,160
raj dabre,"NICT, Japan ",385
hiromitsu nishizaki,University of Yamanashi,689
farley lai,"NEC Laboratories America, Inc. ",57
olivier pironneau,"Professeur mathématiques appliquées, Université Pierre et Marie Curie (Paris VI), Paris … ",21723
remi cadene,"PhD Student at LIP6, Sorbonne University ",515
thibault gisselbrecht,LIP6,181
corentin dancette,LIP6,32
edouard delasalles,"Sorbonne Université, LIP6 ",28
thomas scialom,"LIP6, Sorbonne Université / reciTAL ",22
clément rebuffel,"PhD at LIP6, Sorbonne Université, Paris, France ",1
adam dalton,IHMC,105
jerrod parker,"Large River Ecologist, Illinois Natural History Survey ",55
shiva pentyala,"MS, Texas A&M University ",32
yifu sun,Texas A&M University,21
habeeb hooshmand,Texas A&M University,1
halid ziya yerebakan,"Siemens Medical Solutions, US ",77
ivan garibay,"Director & Assistant Professor, University of Central Florida ",349
logan lebanoff,University of Central Florida,93
kaiqiang song,"Ph.D. Student, University of Central Florida ",81
fereshteh jafariakinabad,University of Central Florida,7
nir piterman,"Associate Professor in Computer Science, University of Gothenburg, Sweden ",4429
simon hengchen,University of Gothenburg,89
nikolai ilinykh,University of Gothenburg,13
marie-jean meurs,Associate Professor @ UQAM Université du Québec à Montréal,363
shahram khadivi,eBay Inc.,1073
manojkumar rangasamy kannadasan,eBay Inc,10
epaminondas kapetanios,"Senior Lecturer, University of Westminster ",372
jonathan prag,"Professor of Ancient History, University of Oxford ",674
eben holderness,"Brandeis University & McLean Hospital, Harvard Medical School ",6
diane litman,University of Pittsburgh,12766
amanda godley,University of Pittsburgh,926
tamar krishnamurti,"Assistant Professor of Medicine, University of Pittsburgh ",828
jaromír šavelka,University of Pittsburgh,115
bill campbell,University of South Florida,6000
john licato,"Assistant Professor, University of South Florida ",270
john f. hurdle,"Professor of Biomedical Informatics, University of Utah ",3829
jinsong su,Xiamen University,984
lingxiao li,Xiamen University,78
graciela gonzalez-hernandez,"Dep. of Epidemiology, Biostatistics, and Informatics, Univ of Pennsylvania ",4587
liqun ma,Massachusetts Institute of Technology - Department of Brain and Cognitive Sciences …,63
sanja fidler,"University of Toronto, NVIDIA ",11784
sean welleck,"PhD Student, New York University ",132
yusu qian,"Master Student, New York University ",10
carlotta domeniconi,"Associate Professor of Computer Science, George Mason University ",5065
jingyuan yang,"Assistant Professor, George Mason University ",163
kayvan bijari,George Mason University,55
jitin krishnan,George Mason University,3
zhongfei zhang,"Professor of comuter science, Binghamton University ",24344
